word,count
	,410
"
",205
(,86
),86
*,39
+,1
-,39
/,7
0,1
00176,1
0036%,1
01,3
0102,4
0103,2
0115,9
0116,1
02,1
0302,1
0371,2
038%,2
05,1
07807,1
0911,1
1,191
10,93
10%,13
100,3
100%,1
1000,2
10000,13
100000,6
1000000,9
1002,1
100720,1
101,1
10100,2
1011,1
1014021,1
10180,1
102015,1
1022000,1
1025,2
10299,1
10340,2
103525,1
103682,1
10381,1
10488,1
1050,1
105000,1
10641,1
10725,1
10800,5
108122,5
10852,1
108734,1
109370,1
11,60
110000,1
1101110,2
11031,1
110600,2
11070,1
1108,1
1113,2
111800,2
1119,2
1120,1
112007,1
11223,1
113624,1
1150,5
115600,1
1156989,2
1159251,2
1165,1
116936260,1
117342,1
117350,2
1176700,1
117973628,1
1182477,1
1182600,1
1182974,1
11991,1
11994,1
11997,1
12,98
120,2
1200,2
12000,2
12013,1
120636705,1
12084,1
120ml,1
12103,1
1219075,1
122221,1
123,1
12303,1
1231,2
1234910039,1
12358,1
1240698299,1
124516332,1
124949851,1
1250,1
1270,1
1270248,1
12738,1
12800,1
1281455098,1
128248,1
128750,1
12896,1
128967711,1
1290,1
12903,1
12939,1
13,15
130,2
13111,1
1315000,3
13198,1
13200,1
13221,1
13230,1
13289,2
13302,1
1334,1
13380,1
135296,1
135329,3
13540,1
135800,3
13587461,2
136661459,1
1376084250,1
13772,1
13800,3
138671770,2
14,19
14026,1
140800,2
141516171819202122,1
1416,2
141800,1
142754,1
14342,1
14400,1
14468,1
145350,1
1468000,2
14704,1
14715,1
147550,1
147973628,1
148,2
1481,11
14824666,1
14844,3
14850524,1
1487828,1
149,3
15,27
15%,2
150,1
1500,4
15000,1
150000,3
1500000,1
15047,1
15078618,1
150987969,2
15144,1
151800,1
1521417,2
152300,1
1526,1
15304774,1
153058,1
153101922,1
1535,1
153744,1
1539,1
15396,1
15400,1
15406,2
15521442,1
15578618,1
15600,1
157500,4
1582,1
1583,1
16,32
160,2
1600,2
16000,2
16060,1
160600,1
1617660,1
16177467,1
16182,2
16190,1
1639204,1
16442,1
16522,2
16600,1
16635,1
166360,1
168000,1
168208965,1
1683,1
16985,1
17,20
17%,1
170916,1
172,1
1720,1
1726,1
17264,1
1732893852,1
1741969,2
175566,1
17568,1
17573,1
177380,2
17800,1
178511010102862683,2
18,16
1800,2
18023850,1
180700,1
18122,1
1814,2
18218073,2
18314,1
1832,2
18392,1
1841150,2
185000,1
18563155,2
188972407,2
189,1
189655,1
18972,1
19,12
19123,1
191800,1
19200,1
19328067,1
1939204,2
1940,1
194288,1
1946415,1
1947188065,1
1949,1
1953,1
195466585,1
196,1
19637,1
197,2
1973,2
197719,1
1978,2
1980,1
1981,2
1983,1
