word,flag,count,,,,
公司,n,5191,,董事,n,569
原告,n,1146,,管理人员,n,559
被告,n,1020,,高级,b,551
规定,n,1007,,义务,n,442
为,p,996,,股东,n,421
在,p,880,,违反,v,408
与,p,827,,监事,n,236
元,m,824,,忠实,a,209
本院,n,694,,公司章程,n,206
年,m,689,,竞业禁止,l,158
月,m,652,,同类,n,152
对,p,640,,商业机会,nt,152
证据,n,627,,,,
和,c,576,,,,
董事,n,569,,,,
管理人员,n,559,,,,
高级,b,551,,,,
判决,v,530,,,,
有限公司,n,508,,,,
由,p,481,,,,
并,c,475,,,,
或者,c,468,,,,
本案,r,466,,,,
是,v,462,,,,
日,m,452,,,,
义务,n,442,,,,
及,c,423,,,,
股东,n,421,,,,
"	",x,410,,,,
违反,v,408,,,,
该,r,407,,,,
中,f,403,,,,
证明,n,401,,,,
不,d,399,,,,
公司法,n,397,,,,
经营,vn,384,,,,
中华人民共和国,ns,380,,,,
主张,n,379,,,,
应当,v,371,,,,
关于,p,345,,,,
行为,v,334,,,,
事实,n,332,,,,
本,r,332,,,,
利益,n,319,,,,
负担,v,307,,,,
有,v,306,,,,
上诉,v,299,,,,
于,p,299,,,,
合同,a,298,,,,
收入,v,296,,,,
业务,n,290,,,,
案件,n,284,,,,
承担,v,282,,,,
但,c,276,,,,
提供,v,275,,,,
法律,n,267,,,,
认定,v,267,,,,
是否,v,265,,,,
期间,f,262,,,,
受理费,n,256,,,,
上海,ns,254,,,,
不予,v,254,,,,
当事人,n,246,,,,
项目,n,240,,,,
职务,n,239,,,,
责任,n,239,,,,
如下,t,236,,,,
未,d,236,,,,
监事,n,236,,,,
向,p,234,,,,
损害,v,234,,,,
诉讼,vn,234,,,,
诉讼请求,n,231,,,,
支付,v,229,,,,
根据,p,229,,,,
予以,v,223,,,,
属于,v,222,,,,
存在,v,221,,,,
赔偿,v,220,,,,
故,n,214,,,,
系,v,214,,,,
他人,r,213,,,,
以,p,213,,,,
股东会,n,211,,,,
之,u,209,,,,
忠实,a,209,,,,
均,d,208,,,,
应,v,208,,,,
成立,v,208,,,,
要求,v,207,,,,
一,m,206,,,,
公司章程,n,206,,,,
"
",x,205,,,,
人,n,205,,,,
不能,v,202,,,,
而,c,202,,,,
损失,n,200,,,,
上述,b,197,,,,
一审,n,196,,,,
支持,v,195,,,,
依据,p,194,,,,
民事,n,193,,,,
也,d,187,,,,
作为,v,187,,,,
等,u,185,,,,
投资,vn,182,,,,
提出,v,182,,,,
他,r,178,,,,
给,p,177,,,,
上诉人,n,176,,,,
归入,v,175,,,,
之日起,ns,173,,,,
实际,n,173,,,,
对于,p,173,,,,
提交,v,173,,,,
进行,v,173,,,,
同意,d,172,,,,
情况,n,172,,,,
按,p,172,,,,
履行,v,170,,,,
将,d,167,,,,
提起,v,165,,,,
诉讼法,n,163,,,,
所有,b,161,,,,
关系,n,159,,,,
认为,v,159,,,,
万元,m,158,,,,
所得,v,158,,,,
竞业禁止,lv,158,,,,
1,m,157,,,,
人民法院,nt,156,,,,
执行,v,156,,,,
没有,v,155,,,,
确认,v,154,,,,
利用,n,153,,,,
同类,n,152,,,,
商业机会,nt,152,,,,
担任,v,152,,,,
请求,v,152,,,,
从,p,151,,,,
后,f,150,,,,
法院,n,149,,,,
驳回,v,149,,,,
协议,n,145,,,,
二审,b,144,,,,
可,v,142,,,,
判决书,v,141,,,,
相关,v,141,,,,
上,f,139,,,,
洪谦,nr,139,,,,
不得,v,138,,,,
可以,c,138,,,,
或,c,137,,,,
亦,d,136,,,,
如,v,136,,,,
百世,n,136,,,,
自己,r,136,,,,
康,nr,135,,,,
所,c,135,,,,
因,p,130,,,,
权,n,130,,,,
经,n,130,,,,
行使,n,128,,,,
争议,n,127,,,,
3,m,126,,,,
对方,n,126,,,,
…,x,125,,,,
不服,v,125,,,,
未经,d,125,,,,
设立,v,125,,,,
内向,n,124,,,,
因此,c,124,,,,
真实性,n,124,,,,
法定代表,n,122,,,,
人数,n,121,,,,
至,p,118,,,,
二,m,117,,,,
三,m,116,,,,
交易,n,116,,,,
决议,n,116,,,,
相应,v,116,,,,
7,m,114,,,,
任职,v,114,,,,
送达,v,114,,,,
问题,n,114,,,,
董事会,n,113,,,,
造成,v,113,,,,
经理,n,112,,,,
上诉状,n,109,,,,
副本,n,109,,,,
递交,v,108,,,,
即,v,107,,,,
管理,vn,107,,,,
股权,n,107,,,,
自营,vn,107,,,,
谋取,v,107,,,,
10,m,106,,,,
便利,a,106,,,,
归,v,105,,,,
总经理,n,105,,,,
焦点,n,105,,,,
转让,v,105,,,,
十五日,m,104,,,,
就,d,104,,,,
签订,v,104,,,,
部分,n,103,,,,
款项,n,100,,,,
举证,v,99,,,,
科技,n,99,,,,
12,m,98,,,,
号,m,98,,,,
派华,nz,98,,,,
以及,c,97,,,,
认可,v,97,,,,
负有,v,97,,,,
约定,v,96,,,,
贝因美,nr,96,,,,
销售,vn,95,,,,
利息,n,93,,,,
经营范围,n,93,,,,
%,x,92,,,,
4,m,92,,,,
5,m,92,,,,
无,v,92,,,,
依法,n,91,,,,
内容,n,90,,,,
对此,d,90,,,,
权利,n,90,,,,
2018,m,89,,,,
双方,n,89,,,,
时,n,89,,,,
北京,ns,88,,,,
终审判决,nr,88,,,,
股东大会,n,88,,,,
作出,v,87,,,,
内,n,87,,,,
获得,v,87,,,,
(,x,86,,,,
),x,86,,,,
主体,n,86,,,,
生效,n,86,,,,
纠纷,n,86,,,,
两,m,85,,,,
股份,n,85,,,,
之间,f,84,,,,
应予,v,84,,,,
所,b,84,,,,
行政,n,84,,,,
身份,n,84,,,,
6,m,83,,,,
人员,n,83,,,,
具有,v,83,,,,
并未,d,83,,,,
返还,v,81,,,,
利润,n,80,,,,
名义,n,79,,,,
成武,nr,79,,,,
按照,p,79,,,,
故,c,79,,,,
法律依据,l,79,,,,
法规,n,79,,,,
申请,v,79,,,,
肖,nr,79,,,,
起诉,v,79,,,,
金额,n,79,,,,
高管,n,79,,,,
2017,m,78,,,,
中级,b,78,,,,
财务,n,78,,,,
适用,v,78,,,,
下,f,77,,,,
原审,n,77,,,,
合作,vn,77,,,,
驳回上诉,n,77,,,,
2,m,76,,,,
2015,m,76,,,,
9,m,76,,,,
共同,d,76,,,,
确定,v,76,,,,
勤勉,ad,75,,,,
有限责任,l,75,,,,
通过,p,75,,,,
综上,n,74,,,,
债务,n,73,,,,
